PERMNO	date	COMNAM	RET
49154	12/31/2021	TARGET CORP	-0.002027
49154	1/3/2022	TARGET CORP	0.002204
49154	1/4/2022	TARGET CORP	0.009571
49154	1/5/2022	TARGET CORP	-0.022676
49154	1/6/2022	TARGET CORP	0.01088
49154	1/7/2022	TARGET CORP	-0.002464
49154	1/10/2022	TARGET CORP	-0.014559
49154	1/11/2022	TARGET CORP	0.000572
49154	1/12/2022	TARGET CORP	-0.013535
49154	1/13/2022	TARGET CORP	0.006059
49154	1/14/2022	TARGET CORP	-0.019617
49154	1/18/2022	TARGET CORP	-0.006278
49154	1/19/2022	TARGET CORP	0.017408
49154	1/20/2022	TARGET CORP	-0.009471
49154	1/21/2022	TARGET CORP	-0.020161
49154	1/24/2022	TARGET CORP	0.015328
49154	1/25/2022	TARGET CORP	-0.026748
49154	1/26/2022	TARGET CORP	-0.013834
49154	1/27/2022	TARGET CORP	0.00222
49154	1/28/2022	TARGET CORP	0.025874
49154	1/31/2022	TARGET CORP	0.01268
49154	2/1/2022	TARGET CORP	-0.005444
49154	2/2/2022	TARGET CORP	-0.007389
49154	2/3/2022	TARGET CORP	-0.020174
49154	2/4/2022	TARGET CORP	0.003846
49154	2/7/2022	TARGET CORP	-0.012848
49154	2/8/2022	TARGET CORP	0.007857
49154	2/9/2022	TARGET CORP	0.017328
49154	2/10/2022	TARGET CORP	-0.012925
49154	2/11/2022	TARGET CORP	-0.010662
49154	2/14/2022	TARGET CORP	-0.014133
49154	2/15/2022	TARGET CORP	-0.002349
49154	2/16/2022	TARGET CORP	0.003041
49154	2/17/2022	TARGET CORP	-0.018334
49154	2/18/2022	TARGET CORP	0.001912
49154	2/22/2022	TARGET CORP	-0.039337
49154	2/23/2022	TARGET CORP	-0.03285
49154	2/24/2022	TARGET CORP	0.008689
49154	2/25/2022	TARGET CORP	0.040042
49154	2/28/2022	TARGET CORP	0.002761
49154	3/1/2022	TARGET CORP	0.098413
49154	3/2/2022	TARGET CORP	0.024928
49154	3/3/2022	TARGET CORP	-0.004713
49154	3/4/2022	TARGET CORP	0.001162
49154	3/7/2022	TARGET CORP	-0.058278
49154	3/8/2022	TARGET CORP	-0.010567
49154	3/9/2022	TARGET CORP	0.034433
49154	3/10/2022	TARGET CORP	-0.005648
49154	3/11/2022	TARGET CORP	-0.036363
