,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,,,,,,,,,,
192607,0.049960242,-0.026190341,-0.007282811,-0.035356835,0.003551846,,100,,,,,,-0.001308476,,9.903878877
192608,-0.028519758,-0.089467341,0.001567189,0.007602165,0.069072846,,,,,,,,0.002551587,,0.008343622
192609,-0.056604758,-0.035990341,-0.055817811,-0.046562835,-0.007446154,,0.008314758,0.009185341,0.012400811,0.013879835,0.016031154,,0.002037225,,
192610,-0.101947758,-0.044704341,-0.047424811,0.020533165,-0.041482154,,,,,,,,0.004557507,,
192611,0.047573242,0.032690659,0.011983189,-0.058374835,-0.010922154,,0.014181199,0.008343622,0.008276044,0.007633411,0.008600064,,0.001555201,,
192612,0.141329242,-0.023447341,-0.012316811,0.019920165,-0.007443154,,0.008343622,0.009308056,0.007340371,0.007170666,0.007620415,,-0.003313795,,
192701,0.002639242,-0.090536341,-0.060679811,0.016618165,0.004178846,,0.008276044,0.007340371,0.007810585,0.0067678,0.007424424,,-0.000238947,,
192702,0.020356242,-0.014106341,0.072676189,0.038699165,0.083247846,,0.007633411,0.007170666,0.0067678,0.00683304,0.007130426,,-0.000287152,,
192703,0.049909242,-0.009914341,-0.071168811,-0.053064835,-0.051807154,,0.008600064,0.007620415,0.007424424,0.007130426,0.008374199,,-0.000494817,,
192704,0.069958242,0.038693659,0.031594189,0.020024165,0.048202846,,,,,,,,0.00270694,,
192705,0.092022242,0.063377659,0.013385189,0.132919165,0.093604846,,,,,,,,0.005832154,,
192706,-0.041974758,0.096712659,-0.042987811,-0.057089835,-0.068492154,,,,,,,,-0.004059491,,
192707,0.235773242,0.098169659,0.034262189,0.013004165,0.038689846,,,,,,,,0.023145779,,
192708,0.109417242,0.007958659,-0.004573811,-0.024781835,-0.011433154,,,,,,,,0.000870815,,
192709,-0.057791758,-0.076877341,-0.007282811,-0.012728835,-0.008228154,,,,,,,,0.004442877,,
192710,-0.097251758,-0.096083341,-0.034656811,-0.050865835,-0.117638154,,,,,,,,0.009344274,,
192711,0.035527242,0.105141659,0.152877189,0.087988165,0.103613846,,,,,,,,0.003735393,,
192712,-0.048208758,0.064702659,0.025795189,0.031498165,0.053479846,,,,,,,,-0.003119235,,
192801,-0.091077758,0.065474659,0.037888189,0.003928165,0.083801846,,,,,,,,-0.005963285,,
192802,-0.001851758,-0.057411341,0.045378189,0.016270165,-0.064278154,,,,,,,,0.000106312,,
