YEAR,MONTH,MER,SMB ,HML ,RF
1926,7,2.96,-2.3,-2.87,0.22
1926,8,2.64,-1.4,4.19,0.25
1926,9,0.36,-1.32,0.01,0.23
1926,10,-3.24,0.04,0.51,0.32
1926,11,2.53,-0.2,-0.35,0.31
1926,12,2.62,-0.04,-0.02,0.28
1927,1,-0.06,-0.56,4.83,0.25
1927,2,4.18,-0.1,3.17,0.26
1927,3,0.13,-1.6,-2.67,0.3
1927,4,0.46,0.43,0.6,0.25
1927,5,5.44,1.41,4.93,0.3
1927,6,-2.34,0.47,-1.53,0.26
1927,7,7.26,-3.23,-1.16,0.3
1927,8,1.97,-0.72,-3.69,0.28
1927,9,4.76,-3.57,-0.71,0.21
1927,10,-4.31,2.13,-4.33,0.25
1927,11,6.58,2.76,-0.31,0.21
1927,12,2.09,0.93,-1.06,0.22
1928,1,-0.68,4.25,-0.72,0.25
1928,2,-1.7,-2.03,-0.69,0.33
1928,3,8.81,-0.26,-1.2,0.29
1928,4,4.23,3.82,3.67,0.22
1928,5,1.52,2.98,-3.46,0.32
1928,6,-4.85,-3.5,-0.06,0.31
1928,7,0.62,-1.35,-0.47,0.32
1928,8,6.68,-2.07,-2.11,0.32
1928,9,2.88,2.33,0.99,0.27
1928,10,1.33,2.27,-2.26,0.41
1928,11,11.81,-1.81,2.8,0.38
1928,12,0.36,-0.85,-0.6,0.06
1929,1,4.66,-3.54,-1.21,0.34
1929,2,-0.34,-0.39,1.68,0.36
1929,3,-0.89,-4.74,1.61,0.34
1929,4,1.43,-1,0.6,0.36
1929,5,-6.39,-5.35,-1.4,0.44
1929,6,9.7,-2.17,-2.76,0.52
1929,7,4.46,-3.88,2.66,0.33
1929,8,8.18,-9.52,0.06,0.4
1929,9,-5.47,1.17,-0.63,0.35
1929,10,-20.12,-4.08,7.85,0.46
1929,11,-12.74,-1.9,5.33,0.37
1929,12,1.33,-4.33,-0.59,0.37
1930,1,5.61,3.54,-1.01,0.14
1930,2,2.5,0.13,0.39,0.3
1930,3,7.1,3.43,0.15,0.35
1930,4,-2.06,-0.2,-0.84,0.21
1930,5,-1.66,-2.04,-0.63,0.26
1930,6,-16.27,-3.24,2,0.27
1930,7,4.12,-0.37,-1.56,0.2
1930,8,0.3,-2.22,-0.78,0.09
1930,9,-12.75,-2.22,-5.27,0.22
1930,10,-8.78,-0.1,-1.35,0.09
1930,11,-3.04,2.21,-3.53,0.13
1930,12,-7.83,-4.67,-5.4,0.14
1931,1,6.24,3.77,7.16,0.15
1931,2,10.88,3.38,1.61,0.04
1931,3,-6.43,3.07,-3.66,0.13
1931,4,-9.98,-4.62,-3.94,0.08
1931,5,-13.24,5.17,-6.58,0.09
1931,6,13.9,-5.38,11.31,0.08
1931,7,-6.62,1.43,-2.1,0.06
1931,8,0.41,-1.97,-1.49,0.03
1931,9,-29.13,0.56,-6.75,0.03
1931,10,8.04,-1.87,1.7,0.1
1931,11,-9.08,4.3,-5.05,0.17
1931,12,-13.53,-0.56,-8.86,0.12
1932,1,-1.58,3.94,9.04,0.23
1932,2,5.46,-2.77,-1.45,0.23
1932,3,-11.21,2.27,-2.32,0.16
1932,4,-17.96,1.44,1.42,0.11
1932,5,-20.51,3.91,-2.99,0.06
1932,6,-0.7,0.34,5.3,0.02
1932,7,33.84,-4.44,35.46,0.03
1932,8,37.06,14.29,33.03,0.03
1932,9,-2.94,-2.44,-6.82,0.03
1932,10,-13.17,-2.76,-10.05,0.02
1932,11,-5.88,2.08,-13.28,0.02
1932,12,4.4,-8.27,-8.17,0.01
1933,1,1.25,0.69,6.23,0.01
1933,2,-15.24,-2.75,-2.73,-0.03
1933,3,3.29,3.9,7.38,0.04
1933,4,38.85,4.56,17.43,0.1
1933,5,21.43,36.7,19.03,0.04
1933,6,13.11,8.56,-2.05,0.02
1933,7,-9.63,-1.01,3.27,0.02
1933,8,12.05,-5.45,2.96,0.03
1933,9,-10.65,-0.32,-11.77,0.02
1933,10,-8.36,-0.08,-8.46,0.01
1933,11,9.97,-6.48,2.33,0.02
1933,12,1.83,0.66,-1.53,0.02
1934,1,12.6,12.53,15.54,0.05
1934,2,-2.5,5.19,2.12,0.02
1934,3,0.09,2.51,-2.73,0.02
1934,4,-1.79,2.8,-3.75,0.01
1934,5,-7.25,-0.26,-5.91,0.01
1934,6,2.64,-2.14,-2.92,0.01
1934,7,-10.96,-6.92,-10.64,0.01
1934,8,5.58,5.39,0.45,0.01
1934,9,-0.23,-1.5,-1.22,0.01
1934,10,-1.66,1.25,-5.11,0.01
1934,11,8.33,6.5,-2.24,0.01
1934,12,0.36,3.06,-3.2,0.01
1935,1,-3.45,1.1,-1.86,0.01
1935,2,-1.94,0.41,-7.27,0.02
1935,3,-3.68,-3.57,-5.1,0.01
1935,4,9.06,-1.51,4.35,0.01
1935,5,3.47,-3.38,2.56,0.01
1935,6,5.93,-2.51,-1.65,0.01
1935,7,7.51,1.47,6.86,0.01
1935,8,2.65,6.28,5.7,0.01
1935,9,2.63,1.57,-4.05,0.01
1935,10,7.03,2.64,-2.33,0.01
1935,11,4.88,4.28,11.91,0.02
1935,12,4.56,0.23,1.07,0.01
1936,1,6.89,5.14,10.51,0.01
1936,2,2.49,1.14,5.04,0.01
1936,3,0.99,0.65,-1.66,0.02
1936,4,-8.14,-6.04,-2.08,0.02
1936,5,5.19,0.83,2.63,0.02
1936,6,2.4,-3.26,-1.2,0.03
1936,7,6.67,1.14,2.56,0.01
1936,8,0.99,0.72,3.99,0.02
1936,9,0.98,3.07,0.88,0.01
1936,10,7.12,-2.39,2.52,0.02
1936,11,3.27,9.01,-0.92,0.01
1936,12,0.21,3.61,3.96,0
1937,1,3.35,4.31,2.61,0.01
1937,2,1.09,1.23,5.05,0.02
1937,3,-0.27,-1.78,6.39,0.01
1937,4,-7.36,-3.77,-3.61,0.03
1937,5,-0.83,-0.66,-3.49,0.06
1937,6,-4.21,-3.65,-3.21,0.03
1937,7,8.91,0.85,0.82,0.03
1937,8,-4.86,0.42,-2.25,0.02
1937,9,-13.61,-6.89,-4.57,0.04
1937,10,-9.61,0.45,-1.62,0.02
1937,11,-8.31,-3.65,0.2,0.02
1937,12,-4.24,-7.76,-0.39,0
1938,1,0.49,4.97,-1.6,0
1938,2,5.84,0.35,-2.02,0
1938,3,-23.82,-4.24,-3.52,-0.01
1938,4,14.51,6.37,0.18,0.01
1938,5,-3.83,-2.47,-0.28,0
1938,6,23.87,4.05,0.3,0
1938,7,7.34,6.66,2.18,-0.01
1938,8,-2.67,-2.44,-4.72,0
1938,9,0.81,-2.72,-1.62,0.02
1938,10,7.8,5.83,5.01,0.01
1938,11,-1.72,-2.56,-1.23,-0.06
1938,12,4.19,-1.8,0.5,0
1939,1,-5.96,-1.56,-3.92,-0.01
1939,2,3.51,0.63,2.95,0.01
1939,3,-11.99,-4.76,-8.29,-0.01
1939,4,-0.18,1.66,-0.3,0
1939,5,6.8,2.81,0.47,0.01
1939,6,-5.31,-1.02,-5.41,0.01
1939,7,10.24,4.32,-0.03,0
1939,8,-6.68,-4.61,-2.42,-0.01
1939,9,16.88,20.23,22.22,0.01
1939,10,-0.53,-0.01,-4.89,0
1939,11,-3.62,-5.07,-6.46,0
1939,12,3.03,0.79,-4.06,0
1940,1,-2.41,0.24,-0.77,0
1940,2,1.44,2.51,-0.32,0
1940,3,2.05,1.25,-1.27,0
1940,4,0.22,3.92,-0.13,0
1940,5,-21.95,-6.66,-3.69,-0.02
1940,6,6.67,-2.13,4.63,0
1940,7,3.16,1.01,-0.74,0.01
1940,8,2.19,-0.11,0.56,-0.01
1940,9,2.39,3.22,-1.13,0
1940,10,3.02,0.28,4.64,0
1940,11,-1.61,1.94,0.12,0
1940,12,0.69,-2.15,-0.89,0
1941,1,-4.17,1,3.83,-0.01
1941,2,-1.43,-1.57,0.89,-0.01
1941,3,0.84,0.1,3.04,0.01
1941,4,-5.46,-1.69,3.41,-0.01
