YEAR,MONTH,RET 1,RET 2,RET 3,RET 4,RET 5,RET 6,RET 7,YTM 1,YTM 2,YTM 3,YTM 4,YTM 5,YTM 6,YTM 7,MAT 1,MAT 2,MAT 3,MAT 4,MAT 5,MAT 6,MAT 7
1941,1,-0.00683,-0.00683,nan,nan,nan,nan,nan,0.8199,0.8199,nan,nan,nan,nan,nan,4.8706,4.8706,nan,nan,nan,nan,nan
1941,2,-0.00036,-0.00036,nan,nan,nan,nan,nan,0.8409,0.8409,nan,nan,nan,nan,nan,4.794,4.794,nan,nan,nan,nan,nan
1941,3,0.00095,0.00095,nan,nan,nan,nan,nan,0.802,0.802,nan,nan,nan,nan,nan,3.4606,3.4606,nan,nan,nan,nan,nan
1941,4,0.0003,0.0003,0.01395,0.01395,nan,nan,nan,0.2983,0.2983,1.6161,1.6161,nan,nan,nan,1.8727,1.8727,8.8734,8.8734,nan,nan,nan
1941,5,0.00186,0.00186,0.00255,0.00255,0.00172,nan,nan,0.2078,0.2078,1.5976,1.5976,2.0626,nan,nan,1.7878,1.7878,8.7885,8.7885,12.7885,nan,nan
1941,6,0.00184,0.00184,0.00887,0.00887,0.01242,nan,nan,0.1094,0.1094,1.4781,1.4781,1.9499,nan,nan,1.7057,1.7057,8.7064,8.7064,12.7064,nan,nan
1941,7,0.00062,0.00062,0.00944,0.00944,0.01262,nan,nan,0.0765,0.0765,1.3468,1.3468,1.8337,nan,nan,1.6208,1.6208,8.6215,8.6215,12.6215,nan,nan
1941,8,0.00029,0.00029,-0.00292,-0.00292,-0.00364,nan,nan,0.0613,0.0613,1.4126,1.4126,1.8892,nan,nan,1.5387,1.5387,8.5394,8.5394,12.5394,nan,nan
1941,9,-0.00091,-0.00091,-0.00047,-0.00047,0.00228,nan,nan,0.1282,0.1282,1.4401,1.4401,1.8817,nan,nan,1.4538,1.4538,8.4545,8.4545,12.4545,nan,nan
1941,10,-0.00308,-0.00308,0.00407,0.00407,0.00645,nan,nan,0.3622,0.3622,1.3928,1.3928,1.8293,nan,nan,1.3689,1.3689,8.3696,8.3696,12.3696,nan,nan
1941,11,-0.00033,-0.00033,-0.00237,-0.00237,-0.00076,nan,-0.0032,0.4106,0.4106,1.4515,1.4515,1.8536,nan,2.3417,1.2895,1.2895,8.2902,8.2902,12.2902,nan,30.7953
1941,12,-0.00214,-0.00153,-0.00193,-0.01367,-0.01759,nan,-0.02424,0.6194,0.8986,1.0958,1.7089,2.0677,nan,2.481,1.2019,2.7077,4.2026,8.2026,12.2026,nan,30.7077
1942,1,0.00266,0.00346,0.0003,0.0003,0.00339,0.00695,0.00695,0.4275,0.7949,1.7289,1.7289,2.0495,2.4556,2.4556,1.117,2.6229,8.1177,8.1177,12.1177,30.6229,30.6229
1942,2,0.00089,0.00167,0.00029,0.00029,-0.00664,0.00114,0.00114,0.3736,0.7528,1.7471,1.7471,2.1424,2.4596,2.4596,1.0404,2.5462,8.0411,8.0411,12.0411,30.5462,30.5462
1942,3,-0.00014,-0.00014,0.00639,0.00639,0.01223,0.00919,0.00919,0.422,0.785,1.6596,1.6596,2.0247,2.422,2.422,0.9555,2.4613,7.9562,7.9562,11.9562,30.4613,30.4613
1942,4,-0.00048,-0.00158,-0.0033,-0.0033,-0.00404,-0.00293,-0.00293,0.5169,0.8791,1.7435,1.7435,2.0895,2.448,2.448,0.8734,2.3792,7.8741,7.8741,11.8741,30.3792,30.3792
1942,5,0.00043,0.00059,0.00247,0.00247,0.00761,0.00752,0.00752,0.514,0.8838,1.7238,1.7238,2.0216,2.4186,2.4186,0.794,2.2998,7.7947,7.7947,11.7947,30.2998,30.2998
1942,6,0.00065,0.00128,0.00094,0.00094,0.00088,0.00029,0.00029,0.4857,0.8608,1.7344,1.7344,2.0319,2.4283,2.4283,0.7064,2.2122,7.707,7.707,11.707,30.2122,30.2122
1942,7,-0.0003,-0.00031,-0.00157,-0.00157,-0.00008,0.00176,0.00176,0.6014,0.91,1.7916,1.7916,2.053,2.4299,2.4299,0.6215,2.1273,7.6222,7.6222,11.6222,30.1273,30.1273
1942,8,0.00063,-0.00093,0.00258,0.00258,0.00112,0.00375,0.00375,0.5793,0.9941,1.7715,1.7715,2.0604,2.4209,2.4209,0.5366,2.0424,7.5373,7.5373,11.5373,30.0424,30.0424
1942,9,0.00048,0.00062,0.0013,0.0013,-0.00102,0.00033,0.00033,0.7785,1.0043,1.7743,1.7743,2.0926,2.4298,2.4298,0.835,1.9603,7.4552,7.4552,11.4552,29.9603,29.9603
1942,10,0.00109,0.00222,0.002,0.002,0.00569,0.00243,0.00243,0.7218,0.9314,1.7647,1.7647,2.0463,2.4279,2.4279,0.7502,1.8754,7.3703,7.3703,11.3703,29.8754,29.8754
1942,11,0.00088,0.00062,0.00225,0.00225,-0.00131,-0.00351,-0.00351,0.7884,0.9394,1.7488,1.7488,2.0822,2.4575,2.4575,0.9199,1.7933,7.2882,7.2882,11.2882,29.7933,29.7933
1942,12,0.00071,0.00169,0.00169,0.00169,0.00416,0.0049,0.0049,0.7834,1.1881,1.7448,1.7448,2.0532,2.4423,2.4423,0.835,2.204,7.2033,7.2033,11.2033,29.7084,29.7084
1943,1,0.0025,0.00352,0.00393,0.00623,0.00618,0.00327,0.00327,0.8423,1.0669,1.65,1.6465,1.9985,2.4355,2.4355,1.6263,2.1218,5.3744,7.1211,11.1211,29.6263,29.6263
1943,2,0.00063,0.00096,0.00134,0.00029,0.00214,-0.00056,-0.00056,0.7443,1.0599,1.6486,1.6669,1.991,2.4487,2.4487,0.9281,2.0452,5.2977,7.0445,11.0445,29.5496,29.5496
1943,3,0.00062,0.00109,0.00214,0.0008,-0.00118,0.00093,0.00093,0.7483,1.0517,1.6347,1.6809,2.0275,2.4553,2.4553,0.8405,1.9576,5.2101,6.9569,10.9569,29.462,29.462
